Smiles,HBA,HBD,HBA+HBD,NumRings,RTB,NumAmideBonds,TPSA,logP,MR,MW,Csp3,fmf,QED,HAC,NumRingsFused,unique_HBAD,max_ring_size,n_chiral_centers,fcsp3_bm,formal_charge,abs_charge,Globularity,PBF
O=C1NC(CCC1(CC)C2=CC=C(N=[N+]=[N-])C=C2)=O,0.1818181818181818,0.1428571428571428,0.1764705882352941,0.4,0.3076923076923077,0.6666666666666666,0.2564287697861706,0.6652431977120015,0.4221567078759414,0.3614985526928514,0.384615384615385,0.8373205741626796,0.6545635881145886,0.3714285714285714,0.6666666666666666,0.2727272727272727,0.5,0.1,0.272727272727273,1.0,0.0,0.2729355871405614,0.5987065154937871
OC([C@@H](NC(OC(C)(C)C)=O)CC1=CC=C(N=[N+]=[N-])C=C1)=O,0.3636363636363636,0.2857142857142857,0.3529411764705882,0.2,0.3846153846153846,0.3333333333333333,0.420049986114968,0.7079472663519357,0.5078539780958697,0.4600528867161597,0.428571428571429,0.3099173553719011,0.902959217884985,0.4571428571428571,0.3333333333333333,0.4545454545454545,0.5,0.1,0.0,1.0,0.0,0.1339891555159194,0.5633582582343463
O[C@H]1[C@@H](CO)O[C@@H](OC2=CC=C(N=[N+]=[N-])C=C2)[C@H](O)[C@H]1O,0.5454545454545454,0.5714285714285714,0.5882352941176471,0.4,0.6153846153846154,0.0,0.5519577895029157,0.3806440870536147,0.4225157227391566,0.4414768892435622,0.5,0.7034632034632035,0.5408318541582058,0.4285714285714285,0.6666666666666666,0.5454545454545454,0.5,0.5,0.454545454545455,1.0,0.0,0.248912938522414,0.3895455820952395
COC1=CC(CCN=[N+]=[N-])=CC=C1,0.0909090909090909,0.0,0.0588235294117647,0.2,0.3846153846153846,0.0,0.0512635379061371,0.6491018433269988,0.2625876946599706,0.1951782413628271,0.333333333333333,0.524475524475525,0.6680878250553783,0.2,0.3333333333333333,0.0909090909090909,0.5,0.0,0.0,1.0,0.0,0.3607134963553537,0.4503553024398299
C[C@@H](COC1=C2C(C3=O)=CC(F)=C1C4(N=[N+]=[N-])CC4)N2C=C3C(O)=O,0.4545454545454545,0.1428571428571428,0.3529411764705882,0.8,0.3076923076923077,0.0,0.3712302138294917,0.6813453740523804,0.5433145096912894,0.5379674514880265,0.375,0.7727272727272728,0.9776017647986236,0.5428571428571429,0.6666666666666666,0.4545454545454545,0.5,0.1,0.357142857142857,1.0,0.0,0.2165929582513466,0.4332889148002953
O=C(C(C(O)=O)=CN1C2=CC=C(F)C=C2F)C3=C1N=C(N4CCC(N=[N+]=[N-])C4)C(F)=C3,0.5454545454545454,0.1428571428571428,0.4117647058823529,0.8,0.3076923076923077,0.0,0.4095529019716745,0.7610335168171749,0.7001153071266563,0.7144835339322209,0.210526315789474,0.8064516129032262,0.6441920931365028,0.7142857142857142,1.0,0.5454545454545454,0.5,0.1,0.222222222222222,1.0,0.0,0.1783264962927393,0.3125675939836804
NC1=NC2=C(S1)C[C@@H](N=[N+]=[N-])CC2,0.2727272727272727,0.1428571428571428,0.2352941176470588,0.4,0.1538461538461538,0.0,0.2161066370452652,0.5849380007443823,0.2691293678381814,0.2321948397499667,0.571428571428571,0.7867132867132863,0.7297000951507693,0.2,0.3333333333333333,0.2727272727272727,0.5,0.1,0.571428571428571,1.0,0.0,0.4357284186677228,0.2646176933163103
[N-]=[N+]=NC1=CC=CC(CN2CCCCC2)=C1,0.0909090909090909,0.0,0.0588235294117647,0.4,0.2307692307692307,0.0,0.0179950013885031,0.7535407157828745,0.3780215324443844,0.2753514668986176,0.5,0.9232954545454546,0.7570502638513616,0.2857142857142857,0.6666666666666666,0.0909090909090909,0.5,0.0,0.5,1.0,0.0,0.232055675868706,0.549632635465305
CCOC(C1=CC(N=[N+]=[N-])=CC=C1)=O,0.1818181818181818,0.0,0.1176470588235294,0.2,0.3076923076923077,0.0,0.1460705359622327,0.6742835315089417,0.2667564907775417,0.2238638485035594,0.222222222222222,0.4870129870129875,0.4797679229133794,0.2285714285714285,0.3333333333333333,0.1818181818181818,0.5,0.0,0.0,1.0,0.0,0.3988884644947694,0.3385405402323896
[N-]=[N+]=NC1=CC2=C(C(C=CC=C3)=C3C2)C=C1,0.0,0.0,0.0,0.6000000000000001,0.0769230769230769,0.0,0.0,0.8108679895786393,0.3705371284724129,0.2567816238150227,0.0769230769230769,0.9232954545454546,0.4979145451380389,0.2857142857142857,0.3333333333333333,0.0,0.5,0.0,0.0769230769230769,1.0,0.0,0.4083693338493177,0.1971940009284813
[N-]=[N+]=NCCOC1=CC=CC=C1,0.0909090909090909,0.0,0.0588235294117647,0.2,0.3076923076923077,0.0,0.0512635379061371,0.6322259006053002,0.2223695825713067,0.1664023698500579,0.25,0.5681818181818182,0.4118707329969215,0.1714285714285714,0.3333333333333333,0.0909090909090909,0.5,0.0,0.0,1.0,0.0,0.4393608101681907,0.3367712257445247
CC(N=[N+]=[N-])CCC1=CC=CC=C1,0.0,0.0,0.0,0.2,0.3846153846153846,0.0,0.0,0.7245195792278,0.2850578013929776,0.1911327563251725,0.4,0.524475524475525,0.6361728913400293,0.2,0.3333333333333333,0.0,0.5,0.1,0.0,1.0,0.0,0.2968002910859573,0.399550619796134
C[C@@H](C1=C2C=CC=CC2=CC=C1)N=[N+]=[N-],0.0,0.0,0.0,0.4,0.2307692307692307,0.0,0.0,0.8119943583615734,0.353802812142305,0.2362772511216364,0.166666666666667,0.757575757575758,0.6615553947164998,0.2571428571428571,0.3333333333333333,0.0,0.5,0.1,0.0,1.0,0.0,0.3816163856319554,0.3511014647349486
