Smiles,MTB Standardized Residuals
O=C(OC(C)(C)C)N1CCC(N2N=CC(N=[N+]=[N-])=C2)CC1,-1.312412501345484
COC1=NC=CC(CN=[N+]=[N-])=C1,-0.03946194023892659
[N-]=[N+]=NCC1=CC=C(N2CCOCC2)C=C1,-0.09624898472064441
COC1=C(N=[N+]=[N-])C=CC=C1OC,0.9078531774281988
CCCOC1=CC=C(N=[N+]=[N-])C=C1,1.071638361797831
CCN(CC1)CCN1C2=CC=C(N=[N+]=[N-])C=C2,-0.8735711011609135
[N-]=[N+]=NC1=CNN=C1,-1.663460343385055
CC1=C(N=[N+]=[N-])C=CC=C1C(O)=O,0.8262135437832112
OS(C1=CC=CC(N=[N+]=[N-])=C1)(=O)=O,0.9545452834727691
COC1=C(OC)C=C(CCN=[N+]=[N-])C=C1,-2.102690846652322
O=C1N(C2C(NC(CC2)=O)=O)CC3=C(N=[N+]=[N-])C=CC=C31,0.8583936973943319
OC[C@@H](N=[N+]=[N-])C1=CC=CC=C1,-0.3359710642407102
O[C@H]1CC2=CC=CC=C2[C@H]1N=[N+]=[N-],-0.7579718812179289
O=C(OC)[C@@H](N=[N+]=[N-])CC1=CNC2=CC=CC=C21,-0.7423213995027037
[N-]=[N+]=N[C@@H]1CCCC2=CC=CC=C21,0.9546733563963604
[N-]=[N+]=NC1CC2=CC=CC=C2C1,0.9391853495686876
[N-]=[N+]=NC1=CC=CC=C1NC2=CC=CC=C2,-0.7834414834414485
NC([C@@H](C1=CC=CC=C1)N=[N+]=[N-])=O,0.5743879797194384
[N-]=[N+]=NC1(CC1)C2=CC=CC=C2,1.102636281675035
CC1=CC=C(NC=C2CCN=[N+]=[N-])C2=C1,-1.352133767142888
CC1=C(N=[N+]=[N-])C=CC=C1C(OC)=O,1.170041287578509
OC(CC1=CC=CC(N=[N+]=[N-])=C1)=O,0.9071568515960078
CN(C)CC1=CC=C(N=[N+]=[N-])C=C1,1.058826664599369
[N-]=[N+]=NCC(C=C1)=CC=C1OC2=CC=CC=C2,0.3430481954558379
[N-]=[N+]=NC1=CC=C(CC2=CC=CC=C2)C=C1,1.015166547705983
[N-]=[N+]=NC1=CC=CC(CC2=CC=CC=C2)=C1,1.096400714907117
CCC1=CC(N=[N+]=[N-])=CC=C1,1.086329756349388
FC(F)(F)C1=CC=C(CN=[N+]=[N-])C=N1,1.019652889375416
FC1=CC=C(OCCN=[N+]=[N-])C=C1,1.032895807640603
COC(CC1=CC=C(N=[N+]=[N-])C=C1)=O,0.971314347296206
OC(CC1=CC=C(N=[N+]=[N-])C=C1)=O,1.024840341652448
O=C(N(CC1)C[C@@H]1N=[N+]=[N-])OCC2=CC=CC=C2,-0.8533828648824854
O=C(NC1=CC(N=[N+]=[N-])=CC=C1)C2=CC=CC=C2,-1.172928497317379
CC(NC1=CC=CC(N=[N+]=[N-])=C1)=O,-0.5509605701632971
[N-]=[N+]=NCC1=NC=CC=N1,-0.5169900546385041
CC(N=[N+]=[N-])C1=CC=C(OC)C=C1,0.7431833492590805
[N-]=[N+]=NCCSCC1=CC=CO1,-0.1873725949763776
CCOC1=CC=CC=C1CN=[N+]=[N-],0.990930694310086
FC(F)OC1=CC=C(CN=[N+]=[N-])C=C1,1.056372607659793
[N-]=[N+]=NCCC1=CC([N+]([O-])=O)=CC=C1,-1.891314874681111
C[C@H](N=[N+]=[N-])C1=NC=C(N1)C2=CC=CC=C2,-0.939660784724036
FC1=C(C(N)=O)C=C(N=[N+]=[N-])C=C1,-0.1342400068662776
CC1=C(SC=N1)CCN=[N+]=[N-],-1.231314968770929
FC1=CC=CC(C2(CC2)N=[N+]=[N-])=C1,0.8562305499398293
ClC1=CC=C(CCCCN=[N+]=[N-])C=C1,0.9435094135863198
CC1=CSC(C(C)N=[N+]=[N-])=N1,0.8983699179488804
