Smiles,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_benzene,fr_bicyclic,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_imidazole,fr_imide,fr_ketone,fr_ketone_Topliss,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_oxazole,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_piperdine,fr_piperzine,fr_priamide,fr_pyridine,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_tetrazole,fr_thiazole,fr_thiophene,fr_unbrch_alkane,fr_urea
O=C1NC(CCC1(CC)C2=CC=C(N=[N+]=[N-])C=C2)=O,0.6290108371752587,0.6290108371752587,0.1556989787333858,0.7487406970412052,0.6545635881145873,0.3389801564261075,0.3614985526928529,0.3578113657854658,0.3614668350977704,0.3655913978494624,0.3769706009597396,0.6558919748111776,0.3441080251888224,0.4703242856900511,0.5346260387811633,0.5847953216374273,0.5932461210830545,0.009390764771305848,0.1831059691396204,0.7027000539056889,0.2683827399154892,0.6653548097126734,0.1242224325218078,0.1673942017999475,0.1358282060750184,0.512201020989394,0.5047935288199641,0.2956408551928573,0.3731007484801507,0.4000796152737527,0.4000796152737527,0.380295037606882,0.4218721879897047,0.4218721879897047,0.411694666690089,0.411694666690089,0.4459807789665329,0.4459807789665329,0.4134706016791095,0.4134706016791095,0.5192743764172336,2.023542484826423e-05,0.384633851337335,0.3281374953724987,0.1410980545254117,0.3827551736908231,0.0,0.0,0.0,0.7416202286581006,0.0,0.0,0.7566274214710504,0.0,0.0,0.0,0.377729140645644,0.2749654316838319,0.2539603522801642,0.1089719530711799,0.1771593322447026,0.5133672563116679,0.0,0.1855563148674531,0.0250256142138009,0.4078770778513986,0.0,0.2769994094534374,0.0,0.3292349331144007,0.2159016179915087,0.0,0.0,0.1071022960466387,0.3935430424834326,0.0,0.4178328428098023,0.2666666666666666,0.0,0.0,0.2564287697861705,0.05660130480983924,0.2402298493005177,0.2892488854480623,0.5402032024737802,0.1217660515668736,0.0,0.5,0.0760887817651346,0.1316271802234023,0.0,0.004225927184464419,0.01729119014866018,0.5230533400502302,0.08278524986412075,0.3554060816969559,0.4117643596978995,0.2520168507326364,0.573617790551102,0.325811754469608,0.4189875251223567,0.3846153846153846,0.3714285714285714,0.1428571428571428,0.2727272727272727,0.0,0.3333333333333333,0.25,0.3333333333333333,0.0,0.25,0.1818181818181818,0.1428571428571428,0.2727272727272727,0.2727272727272727,0.0,0.3333333333333333,0.25,0.4,0.6652431977120019,0.4136430605217858,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.5,0,0,0.0,0.3333333333333333,0,0,0,0,0,0,0,0.0,0.0,0.6666666666666666,0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.5,0,0,0.0,0,0,0,0,0,0,0.0,0
OC([C@@H](NC(OC(C)(C)C)=O)CC1=CC=C(N=[N+]=[N-])C=C1)=O,0.5593320333432488,0.5593320333432488,0.06177361434206658,0.6643420719242774,0.9029592178849841,0.1321455961300219,0.4600528867161613,0.4526066605923923,0.4600451971505108,0.4731182795698926,0.6824726663158026,0.3866718019505329,0.6133281980494671,0.8514814377321842,0.5311004784688996,0.5303030303030305,0.5107724645296899,0.0129285276038775,0.3998417764871869,0.5502481709247304,0.3869196132312633,0.473117503150988,0.1801840477053904,0.1436527866755475,0.1351062456858009,0.4973779977731044,0.5804608466056921,0.3106846984045729,0.4861271192379327,0.5064421909760122,0.5064421909760122,0.4455314772968683,0.4614797228692442,0.4614797228692442,0.5194781358240157,0.5194781358240157,0.300403515135335,0.300403515135335,0.2707574980332959,0.2707574980332959,0.4285714285714287,3.971066251041365e-05,0.553186531662134,0.5044116198643158,0.4114563381721552,0.4702540175428584,0.3034689284889207,0.272490070987774,0.0,0.0,0.0,0.6735873370522538,0.0,0.4149704463409858,0.0,0.0,0.3056892408804144,0.3934303033077367,0.2539603522801642,0.0,0.3590171836117204,0.5206471309353361,0.0,0.1855563148674531,0.0250256142138009,0.5012429721556945,0.0,0.2769994094534374,0.0,0.3292349331144007,0.3979093603123257,0.0,0.0,0.2611929619191942,0.4184123405283776,0.0,0.3465703058083044,0.2666666666666666,0.0,0.0,0.420049986114968,0.2477859698581426,0.3681608945103624,0.1571998468968248,0.2435981905048149,0.0,0.0,0.9279993974288823,0.0,0.1316271802234023,0.1835173344198152,0.06712212306294461,0.01729119014866018,0.5104561585476356,0.2095260889103966,0.3324083503010332,0.355727424773514,0.2030570610853143,0.501212342267103,0.5384211071141443,0.4189875251223567,0.4285714285714285,0.4571428571428571,0.2857142857142857,0.4545454545454546,0.0,0.0,0.0,0.3333333333333333,0.0,0.25,0.2727272727272727,0.2857142857142857,0.4545454545454546,0.4545454545454546,0.0,0.0,0.0,0.2,0.7079472663519362,0.4976120712488419,1,0.0,0.0,0,0.0,0.0,0,0.0,0.5,0.5,0.5,0.25,0,0,0.0,0.3333333333333333,0,0,0,0,0,0,1,0.0,0.0,0.3333333333333333,0,0.0,0.0,0.3333333333333333,0.0,0.0,0.25,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0
O[C@H]1[C@@H](CO)O[C@@H](OC2=CC=C(N=[N+]=[N-])C=C2)[C@H](O)[C@H]1O,0.3050568539605314,0.3050568539605314,0.2115054919076554,0.6076148101265555,0.5408318541582056,0.527950310559006,0.4414768892435638,0.4396158990895046,0.4414945080380727,0.4516129032258064,0.3627224825253106,0.4125956088924074,0.5874043911075926,0.452547737311904,0.368421052631579,0.44973544973545,0.4971098265895953,0.01416523199330547,0.357739128885366,0.7208442835794431,0.2262040468993027,0.5688776663161608,0.04783223623704469,0.1030753346160587,0.0613039430770638,0.5520680832078703,0.4418043802826641,0.2693564415117761,0.4331510158637968,0.4138527072091037,0.4138527072091037,0.4367599745367932,0.4277814854952267,0.4277814854952267,0.4064684108216545,0.4064684108216545,0.3744676179489704,0.3744676179489704,0.3234275142970042,0.3234275142970042,0.6235827664399094,5.229100210656203e-05,0.4809807751833692,0.4562055228990415,0.2198329360275485,0.429172829279394,0.5985200481844778,0.7059900649149836,0.0,0.3948424861780236,0.0,0.0,0.0,0.0,0.0,0.0,0.05321260120056516,0.362517284158084,0.1192885548452763,0.1329577282642807,0.5524031502659282,0.166824380373053,0.0,0.0,0.0250256142138009,0.3963214236650497,0.1251470972496104,0.2253356955195836,0.3333333333333333,0.2933238226908794,0.2159016179915087,0.3333333333333333,0.0,0.5234280411357377,0.124243628566665,0.0,0.0,0.2666666666666666,0.0,0.0,0.5519577895029159,0.3900194691512083,0.3837931356295343,0.0,0.2476266871800328,0.0,0.4199093667252252,0.0,0.0,0.06320718955046409,0.5648736827150754,0.1360498461988918,0.01729119014866018,0.01528952910959077,0.583165911512854,0.329402281395413,0.4742537117388629,0.2236742238744924,0.3016534834579405,0.1599629639628527,0.4189875251223567,0.5,0.4285714285714285,0.5714285714285714,0.5454545454545455,0.0,0.3333333333333333,0.25,0.3333333333333333,0.0,0.25,0.5454545454545454,0.5714285714285714,0.5454545454545455,0.3636363636363636,0.0,0.3333333333333333,0.25,0.4,0.3806440870536147,0.4139948351211767,0,0.5714285714285714,0.5714285714285714,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0,0.0,0.5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0
COC1=CC(CCN=[N+]=[N-])=CC=C1,0.0651227561641341,0.0651227561641341,0.3430543442919852,0.9441902508097219,0.6680878250553786,0.07462686567164177,0.1951782413628277,0.1896918275164618,0.1951449828349386,0.2043010752688172,0.1662483133182522,0.3617276625411356,0.6382723374588644,0.2074183477690706,0.6599190283400812,0.7692307692307694,0.8350377945753668,0.0120182512148512,0.4508215070526784,0.3001378007995303,0.57446461030301,0.4524576430229839,0.6523799574183806,0.09015835392009841,0.4307282505356698,0.4094359646709828,0.5522771796194278,0.1519255955752617,0.2013385780106877,0.2359275194420429,0.2359275194420429,0.2152435676335586,0.2368318349201834,0.2368318349201834,0.2066512707763692,0.2066512707763692,0.1932840303048587,0.1932840303048587,0.1701899252629984,0.1701899252629984,0.6689342403628119,1.010139177005834e-06,0.2369018676661854,0.3235812097069094,0.1937212505508513,0.2145625396307818,0.09482016864567203,0.1345614934864122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1794509210404898,0.3602993303976115,0.1372712342312488,0.143078464937722,0.08751412760107145,0.0,0.0,0.0,0.0250256142138009,0.08287364338627695,0.258643608272035,0.2769994094534374,0.3333333333333333,0.2933238226908794,0.0,0.3333333333333333,0.0,0.1237844577481056,0.1684123405283776,0.0,0.07321631866644097,0.2666666666666666,0.0,0.0,0.05126353790613708,0.0,0.0,0.0,0.1417041869130061,0.3881354902914801,0.0,0.1465003160260571,0.2666666666666666,0.06320718955046409,0.1835173344198152,0.06736103132831618,0.01729119014866018,0.01644824987346005,0.04859763780067877,0.3659709015596287,0.5171459637088397,0.2766379118059725,0.5495714766784048,0.2286756861383105,0.5702325490739291,0.3333333333333333,0.2,0.0,0.09090909090909094,0.0,0.0,0.0,0.3333333333333333,0.0,0.25,0.09090909090909091,0.0,0.09090909090909094,0.3636363636363636,0.0,0.0,0.0,0.2,0.6491018433269993,0.257292080519137,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0,0.0,0.25,0,0,0.0,0,0,0.0,0,0,0.3333333333333333,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0
C[C@@H](COC1=C2C(C3=O)=CC(F)=C1C4(N=[N+]=[N-])CC4)N2C=C3C(O)=O,0.9994790395602529,0.9994790395602529,0.03910753437946723,0.6295386811483291,0.9776017647986239,0.2856586632057106,0.5379674514880285,0.545271651448671,0.5379684677005137,0.5268817204301075,0.5626144941775021,0.3733668426395995,0.6266331573604005,0.7019413700145906,0.6757894736842104,0.711111111111111,0.7394219653179187,0.0359640551600087,0.3478227710297306,0.7596936071826956,0.3154116011546653,0.8375547706754942,0.3219561946832257,0.1592476095462894,0.2465041505748043,0.9312505651660093,0.4590745013752326,0.5864875479427707,0.5325799531164643,0.5372503223257585,0.5372503223257585,0.5464049540018914,0.5630021412412143,0.5630021412412143,0.6045483331749466,0.6045483331749466,0.5976828633548752,0.5976828633548752,0.5771398358488256,0.5771398358488256,0.3537414965986395,0.0007566382390053727,0.4789452276639809,0.3161472226346717,0.1215039867384173,0.5327963865620995,0.288462027518084,0.4209804659231762,0.3118661108606469,0.3407802840138205,0.0,0.3333333333333333,0.2433725785289497,0.3974819237914,0.0,0.0,0.05321260120056516,0.3859169272215226,0.2466631480441075,0.4524646415998608,0.3515509772730522,0.4949020896466353,0.0,0.1593921149390873,0.0250256142138009,0.4045851950696132,0.1251470972496104,0.3661637828463937,0.3333333333333333,0.6294943148226647,0.1666666666666667,0.3333333333333333,0.0,0.2017042232332588,0.1452809968174322,0.2510809272756418,0.5491589129936015,0.1874570357254718,0.0,0.4940872040269093,0.3806164954179395,0.2959965298297446,0.478151567726283,0.7185197287888058,0.3974867883642539,0.1327732553046067,0.1072352130395897,0.09410697531672652,0.0760887817651346,0.06320718955046409,0.1835173344198152,0.280965915214994,0.01729119014866018,0.5342004814388297,0.1815774841610971,0.2157459603676119,0.2930116023366571,0.06598832361808314,0.5992553150194406,0.3303669393962904,0.4189875251223567,0.375,0.5428571428571429,0.1428571428571428,0.4545454545454546,0.25,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.5,0.3636363636363636,0.1428571428571428,0.5454545454545455,0.2727272727272727,0.25,0.0,0.25,0.8,0.7023448059707338,0.544326082638062,0,0.0,0.0,0,0.5,0.1666666666666667,0,0.0,0.5,0.5,0.25,0.0,0,0,0.1428571428571428,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0,0.0,0.25,0,0,0.1666666666666667,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.5,0,0,0,0,0,0,0.0,0
O=C(C(C(O)=O)=CN1C2=CC=C(F)C=C2F)C3=C1N=C(N4CCC(N=[N+]=[N-])C4)C(F)=C3,1.0,1.0,0.1153933371048966,0.5913069344190318,0.6441920931365028,0.2077620313579367,0.7144835339322236,0.7306102491529397,0.7145268244157219,0.6881720430107527,0.5626432793851398,0.3899054339612198,0.6100945660387802,0.7019772836433621,0.4533106960950761,0.5734767025089607,0.656721983964199,0.03600159972748629,0.4514660108915116,0.577122531964797,0.4062338764277751,0.5882642123269155,0.3475440330911481,0.1563845262588566,0.2465447559520348,0.8612997876599741,0.4217883184661644,0.7557659714440959,0.7040099184940762,0.6676169480084473,0.6676169480084473,0.7202368390699274,0.6766292049458822,0.6766292049458822,0.6536290566950843,0.6536290566950843,0.6194943797314401,0.6194943797314401,0.6003393745867498,0.6003393745867498,0.1292517006802723,0.01031132201445015,0.6696439834008661,0.5302066511588056,0.2273544533304896,0.6924650172489617,0.2003038857265623,0.4024992481775662,0.9374276688568983,0.3407802840138205,0.0,0.3333333333333333,0.475200338958931,0.9931586863242927,0.0,0.0,0.05321260120056516,0.3678127064838255,0.5317538841051107,0.3444335070191213,0.4262637692393468,0.6693808338136079,0.0,0.3333333333333333,0.0250256142138009,0.1608557758416681,0.3407543867901591,0.5915424099255305,0.3297315458887773,0.6395907656569647,0.7208546995618023,0.0,0.0,0.3604259231201873,0.0,0.7532427818269252,0.220813055260105,0.3874570357254716,0.0,0.757734947290246,0.4189391835601222,0.422864760102175,0.698132914158124,0.7120439375854429,0.4120713038226289,0.633907847713938,0.0847920167405055,0.0,0.0,0.1273443575507825,0.0,0.5490684556916386,0.01729119014866018,0.6615085246683854,0.176609141890197,0.1668666923469416,0.08292754551783421,0.134570177937707,0.5687067222083436,0.2295896533344718,0.4189875251223567,0.2105263157894737,0.7142857142857142,0.1428571428571428,0.5454545454545455,0.0,0.3333333333333333,0.25,0.3333333333333333,0.6666666666666666,0.75,0.4545454545454545,0.1428571428571428,0.8181818181818181,0.3636363636363636,0.0,0.3333333333333333,0.25,0.8,0.7315912162823952,0.6978487948616083,0,0.0,0.0,0,0.5,0.3333333333333333,0,0.0,0.5,0.5,0.25,0.0,0,0,0.4285714285714285,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.5,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0,0,0.5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1.0,0,0,0,0,0,0,0.0,0
NC1=NC2=C(S1)C[C@@H](N=[N+]=[N-])CC2,0.09478757023898421,0.09478757023898421,0.06622538044712617,0.8772726559681238,0.729700095150768,0.2977586981480557,0.2321948397499675,0.2329010259492128,0.2320292035042974,0.2043010752688172,0.2757336321646887,0.5397022178843203,0.4602977821156798,0.3440168099539169,0.7732793522267204,0.8547008547008543,0.9470875944864378,0.1521753666169162,0.3532443404088044,0.5221702553120504,0.4500459877238607,0.6003945591357926,0.4339025536823882,0.2828830117395511,0.5159638258493799,0.5274750276042631,0.4736229737743439,0.179567602793792,0.1911193003121227,0.2095618402930014,0.2525841032184621,0.2109503547512602,0.2431603071118271,0.3145119325375773,0.254742746773382,0.3694605261149395,0.2511758541334161,0.374031620267412,0.2558093180800963,0.4192820669223989,0.761904761904762,1.352829813775462e-06,0.1938844217607846,0.1781504738855472,0.0908427004869011,0.2269464240883814,0.1147737062366513,0.0,0.278346967910735,0.0,0.0,0.0,0.0,0.2156833612910789,0.0,0.8607224111942632,0.05321260120056516,0.2877742300957875,0.2290173796382487,0.1145853271122053,0.0,0.4830551699090597,0.0,0.173941218394246,0.0250256142138009,0.326603062614222,0.108606729349106,0.09816586076639039,0.0,0.3550495927036219,0.1948015705469207,0.0,0.4117843061326373,0.09995383772759266,0.3368246810567552,0.0,0.2236173234462434,0.0,0.0,0.0,0.2161066370452652,0.0,0.0,0.1479213267544762,0.1111062470293395,0.5462151372921515,0.2805790636883779,0.0,0.0,0.1273443575507825,0.2221359119149235,0.004225927184464419,0.1427040060039422,0.1357268068323017,0.06074285157946075,0.7760250866157605,0.4498009897512125,0.04497241127986158,0.6102791701275687,0.1955830464403298,0.4189875251223567,0.5714285714285714,0.2,0.2857142857142857,0.1818181818181819,0.25,0.0,0.25,0.0,0.3333333333333333,0.25,0.2727272727272727,0.1428571428571428,0.2727272727272727,0.09090909090909091,0.0,0.0,0.0,0.4,0.5849380007443825,0.2637018275725073,0,0.0,0.0,1,0.0,0.1666666666666667,0,0.0,0.0,0.0,0.0,0.0,0,0,0.1428571428571428,0.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0.5,0.5,0.0,0.3333333333333333,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,1,0,0.0,0
[N-]=[N+]=NC1=CC=CC(CN2CCCCC2)=C1,0.106795733444583,0.106795733444583,0.4943115862133816,0.9807535160518157,0.7570502638513605,0.2255029201817002,0.2753514668986183,0.2630160709785393,0.2753017264021884,0.2903225806451613,0.02199555672218957,0.650910184303749,0.349089815696251,0.02744257636372992,0.4473684210526315,0.5902777777777779,0.7066473988439305,0.0001184544755427064,0.4248751695240944,0.4332618194197921,0.3471208302292728,0.499148000896017,0.3156015917461661,0.1018696495191077,0.3273837234229424,0.4666302576207858,0.4288013551196005,0.1942883291167676,0.2682299672863496,0.3343228464718567,0.3343228464718567,0.3061433621112709,0.3892086005892557,0.3892086005892557,0.3753695812185605,0.3753695812185605,0.3522064825193606,0.3522064825193606,0.358291975290933,0.358291975290933,0.7052154195011339,6.153255388382775e-06,0.2997907813807937,0.361826215574011,0.1893869194442331,0.3094382927154439,0.0,0.0,0.0,0.0,0.0,0.0,0.2487213301250119,0.0,0.0,0.0,0.3093772593361243,0.5611473207572323,0.2565597890765252,0.0,0.0,0.166824380373053,0.0,0.1710072114122945,0.0250256142138009,0.333094201694208,0.2479406385054544,0.2769994094534373,0.0,0.0,0.2159016179915087,0.0,0.0,0.1630819229437291,0.1716630377290471,0.0,0.3267148470958477,0.2666666666666666,0.0,0.0,0.01799500138850318,0.0,0.0,0.0,0.1231407859559366,0.1432436585821463,0.6561193739671428,0.0,0.2,0.2043285716871195,0.0,0.004225927184464419,0.01729119014866018,0.07210579365717412,0.05084540368141955,0.4454415418725595,0.4498009897512125,0.2799634035447884,0.6566264091089877,0.421239077149877,0.4189875251223567,0.5,0.2857142857142857,0.0,0.09090909090909094,0.0,0.3333333333333333,0.25,0.3333333333333333,0.0,0.25,0.09090909090909091,0.0,0.09090909090909094,0.2727272727272727,0.0,0.3333333333333333,0.25,0.4,0.7535407157828751,0.3703979605350291,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.1428571428571428,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.5,0,0,0.0,0,0,0,0,0,0,0.0,0
CCOC(C1=CC(N=[N+]=[N-])=CC=C1)=O,0.5030230409594716,0.5030230409594716,0.2268768404860239,0.791016015799703,0.4797679229133788,0.07323630295726337,0.2238638485035602,0.2241536403641977,0.2238417881947623,0.2258064516129032,0.557074898934343,0.4120040133063697,0.5879959866936303,0.6950299393377218,0.7368421052631579,0.7936507936507933,0.8323699421965319,0.01261618034874804,0.4782606810088996,0.3939111131533806,0.5790346425547956,0.4711431654021607,0.5331735395500967,0.1538173249564191,0.2375335906387414,0.4111390162435223,0.6212676842263681,0.1905121681336647,0.2356076090304267,0.2465259262198402,0.2465259262198402,0.239841695016919,0.2451758951212517,0.2451758951212517,0.1968008220613068,0.1968008220613068,0.1699334902859986,0.1699334902859986,0.1545855425141584,0.1545855425141584,0.5941043083900228,1.481141879616114e-06,0.2635164767309635,0.3098822371021638,0.1550558211223143,0.2356365490244999,0.09482016864567203,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.2074852231704929,0.0,0.0,0.1794509210404898,0.2846967615305187,0.1192885548452763,0.2449173297249508,0.1760937937234228,0.3419181067044093,0.0,0.0,0.0250256142138009,0.08936478246626298,0.1251470972496104,0.2769994094534374,0.0,0.0,0.2159016179915087,0.0,0.0,0.1140085956381856,0.124243628566665,0.0,0.2274315414975905,0.2666666666666666,0.0,0.0,0.1460705359622327,0.0623953947870911,0.1201149246502588,0.0,0.3866474926859805,0.0,0.1049773416813063,0.5176664658096273,0.0,0.06320718955046409,0.1835173344198152,0.06398610843027312,0.01729119014866018,0.2581297044328503,0.04747917226611442,0.3507251956670146,0.4162565622346608,0.2345094423501535,0.5245045858771227,0.3344620299445622,0.4189875251223567,0.2222222222222222,0.2285714285714285,0.0,0.1818181818181819,0.0,0.0,0.0,0.3333333333333333,0.0,0.25,0.1818181818181818,0.0,0.1818181818181819,0.2727272727272727,0.0,0.0,0.0,0.2,0.6742835315089422,0.261376804396769,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.25,0.25,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.25,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0
[N-]=[N+]=NC1=CC2=C(C(C=CC=C3)=C3C2)C=C1,0.1095878570101159,0.1095878570101159,0.4826607757870012,0.9779371770356219,0.4979145451380397,0.1232965606748864,0.2567816238150235,0.2587166911145429,0.2567076626645367,0.2473118279569892,0.02200654902964992,0.9978395093544293,0.002160490645570709,0.02745629082618724,0.263157894736842,0.4513888888888888,0.6459537572254334,6.361400860208088e-05,0.4004101854123787,0.4925133923234304,0.5850712876763762,0.6789549334503662,0.7504298392952622,0.1412666977685273,0.8812366252148863,0.6297894421648499,0.4607617926969315,0.3252089197132911,0.2580106895877847,0.294767664864131,0.294767664864131,0.3061433621112709,0.3366788183585731,0.3366788183585731,0.3412859089725589,0.3412859089725589,0.3537383088893499,0.3537383088893499,0.3756801904078829,0.3756801904078829,0.5374149659863948,9.270990124385395e-06,0.2205950720884484,0.1912004342128226,0.06831118628679808,0.2966392483939357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.431927560720339,0.5190178442180112,0.1192885548452763,0.0,0.0,0.166824380373053,0.0,0.0,0.0250256142138009,0.08287364338627695,0.0,0.4976648950269787,0.6450926215439939,0.0,0.2159016179915087,0.0,0.0,0.0,0.1684123405283776,0.0,0.1464326373328819,0.4666666666666665,0.0,0.5042372041255969,0.0,0.0,0.0,0.0,0.1231407859559366,0.1405311249690478,0.3850979286812964,0.0,0.2,0.3754714597003093,0.0,0.004225927184464419,0.01729119014866018,0.01900862485801719,0.05091667870591048,0.7236083407075891,0.4498009897512125,0.474465514142916,0.5555641219317093,0.1955830464403298,0.4189875251223567,0.07692307692307693,0.2857142857142857,0.0,0.0,0.25,0.0,0.25,0.6666666666666666,0.0,0.5,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.6000000000000001,0.81086798957864,0.3630644947689054,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0
